"ESTABLISHMENT NAME","ADDRESS","ALDERMANIC DISTRICT","INSPECTION DATE","ESTABLISHMENT GRADE"
"MILWAUKEE CLASSIC PIZZA","3929 S HOWELL AV","13","05/02/2018","A"
"CULVER'S","7515 W GOOD HOPE RD","9","05/02/2018","A"
"CENTER STREET FOODS","4630 W CENTER ST","7","05/02/2018","A"
"HOWARD MOBIL","1930 W HOWARD AV","13","05/02/2018","A"
"CHAHAL CITGO","3308 W VLIET ST","15","05/02/2018","A"
"G&S SEHRA FOOD MART","6727 W VILLARD AV","2","05/01/2018","A"
"STUBBY'S GASTROGRUB & BEER","2060 N HUMBOLDT AV","3","05/01/2018","A"
"WA CHEESE & SAUSAFE SHOPPE","400 N WATER ST","4","05/01/2018","A"
"MR F FOODS","3246 N 15TH ST","6","05/01/2018","A"
"WHO'S ON THIRD, MILWAUKEE PUB","1003 N OLD WORLD THIRD ST","4","05/01/2018","A"
"SP MART","227 W HOLT AV","14","04/30/2018","A"
"SKYLINE","5518 S 13TH ST","13","04/30/2018","A"
"ALADDIN TASTES OF EAST","400 N WATER ST","4","04/30/2018","A"
"ABC BEER & LIQUOR DEPOT II","1819 S 12TH ST","12","04/30/2018","A"
"MIKE'S FOOD MART","1556 S 33RD ST","8","04/27/2018","A"
"CONVENIENT GOODIES","7516 W APPLETON AV","2","04/27/2018","A"
"RESTAURANT OPERATION- CAMBRIDGE CAFE","2323 N CAMBRIDGE AV","3","04/27/2018","A"
"RESTAURANT OPERATION- CAMBRIDGE CAFE","2323 N CAMBRIDGE AV","3","04/27/2018","A"
"RESTAURANT OPERATIONS- RESTOR+MORE","2200 E KENWOOD BL","3","04/27/2018","A"
"LEVY RESTAURANTS AT THE BRADLEY CENTER-BC STAND 2102","1001 S 4TH ST","12","04/27/2018","A"
"LISA KAYE CATERING","2460 N 6TH ST","6","04/27/2018","A"
"HWY 45 MOBIL","5501 N LOVERS LANE RD","5","04/27/2018","A"
"HOWELL GAS & FOOD","3725 S HOWELL AV","13","04/27/2018","A"
"BELAIR CANTINA","1935 N WATER ST","3","04/27/2018","A"
"COUSINS SUBS","5121 W HOWARD AV","11","04/26/2018","A"
"CASPAR'S LOUNGE","1300 W KEEFE AV","6","04/26/2018","A"
"WENDY'S RESTAURANT #17","8331 W BROWN DEER RD","9","04/26/2018","A"
"THE HIDEAWAY TAVERN","9000 W KAUL AV","2","04/25/2018","A"
"ALDI #14","5301 N HOPKINS ST","1","04/25/2018","A"
"CHAMBER EAST FOOD","200 E CHAMBERS ST","6","04/25/2018","B"
"THAI-NAMITE THAI BISTRO AND SUSHI BAR","400 N WATER ST","4","04/25/2018","A"
"J & M PETROLEUM","8334 W APPLETON AV","5","04/25/2018","A"
"PIZZERIA 3301","3301 W CANAL ST","8","04/24/2018","A"
"PICK N SAVE #6365","5700 W CAPITOL DR","2","04/23/2018","A"
"BENNY'S PIZZA","1102 W LINCOLN AV","12","04/23/2018","A"
"PETRO MART","2341 S CHASE AV","14","04/23/2018","A"
"BJC","1125 N 9TH ST","4","04/23/2018","A"
"MITCHELL PETRO MART","1401 W MITCHELL ST","12","04/23/2018","A"
"IT'Z MY PARTY CAKERY, INC","5300 W BLUE MOUND RD","10","04/23/2018","A"
"BABY BOOMERS","182 E LINCOLN AV","14","04/23/2018","A"
"QUALITY DISCOUNT","738 W HISTORIC MITCHELL ST","12","04/20/2018","A"
"GRAND CONVENIENT STORE","724 N OLD WORLD THIRD ST","4","04/20/2018","A"
"BB'S","633 W WISCONSIN AV","4","04/20/2018","A"
"JALISCO RESTAURANT","2207 E NORTH AV","3","04/20/2018","A"
"THE GYROS STAND","1110 E OKLAHOMA AV","14","04/19/2018","A"
"MY YO MY!","130 N WATER ST","4","04/19/2018","A"
"SILVER CITY BBQ & FISH","3521 W NORTH AV","15","04/19/2018","A"
"MIMAS FOOD MART","2420 S 6TH ST","14","04/19/2018","A"
"MANPOWER/STARBUCKS","201 W CHERRY ST","6","04/18/2018","A"
"GEORGE WEBB RESTAURANT","812 N OLD WORLD THIRD ST","4","04/18/2018","A"
"NATIONAL GROCERY","3501 W NATIONAL AV","8","04/18/2018","A"
"SUBWAY","2121 S KINNICKINNIC AV","14","04/17/2018","A"
"SCHLOTZSKY'S","6800 W BROWN DEER RD","9","04/17/2018","A"
"CITGO/ROTE OIL LTD","5931 N 91ST ST","2","04/16/2018","A"
"HELWIG CARBON PRODUCTS","8900 W TOWER AV","9","04/16/2018","A"
"KILBOURN SUPERMARKET","901 N 27TH ST","4","04/16/2018","A"
"GUADALAJARA RESTAURANT #3508","901 S 10TH ST","12","04/13/2018","A"
"KING'S AMOCO GAS AND MART","5110 W HAMPTON AV","1","04/13/2018","A"
"BOTANAS #3451","816 S 5TH ST","12","04/13/2018","A"
"ARBY'S","11231 W SILVER SPRING DR","5","04/13/2018","A"
"WENDY'S RESTAURANT #16","11201 W SILVER SPRING DR","5","04/13/2018","A"
"SOUL GOOD KITCHEN","6041 N TEUTONIA AV","1","04/13/2018","A"
"MAMA NANA PICKMAR","7276 N TEUTONIA AV","1","04/13/2018","A"
"WALGREENS #12783","2826 N MARTIN L KING JR DR","6","04/11/2018","A"
"GRILL-N-CAFE","2611 W STATE ST","4","04/11/2018","A"
"JANET GROCERY STORE","5326 S 27TH ST","13","04/11/2018","B"
"YICK INN","6107 N TEUTONIA AV","1","04/10/2018","A"
"COUSINS SUBS","801 E CAPITOL DR","6","04/10/2018","A"
"MINI MART","3600 S CLEMENT AV","14","04/10/2018","A"
"XEE YOO CHINESE FAST FOOD","8614 N 107TH ST","9","04/10/2018","A"
"PRINCE PETROLEUM","4811 N TEUTONIA AV","1","04/10/2018","A"
"CAPITOL CITGO MART","4302 W CAPITOL DR","7","04/10/2018","A"
"U S PETRO","2931 W LINCOLN AV","8","04/10/2018","A"
"FRITZ'S PUB","3086 S 20TH ST","13","04/09/2018","A"
"STOP N SHOP","2905 W FOND DU LAC AV","15","04/09/2018","A"
"JJ FISH & CHICKEN","1334 S 35TH ST","8","04/09/2018","A"
"BOWLS","207 W FRESHWATER WA","12","04/09/2018","A"
"COUSINS SUBS","4121 N 56TH ST","2","04/06/2018","A"
"FRESH MEAT MARKET","4623 W BURLEIGH ST","7","04/06/2018","B"
"SAZ'S STATE HOUSE","5539 W STATE ST","10","04/06/2018","A"
"BALISTRERI'S BLUEMOUND INN","6501 W BLUE MOUND RD","10","04/06/2018","A"
"BURLEIGH CITGO","9109 W BURLEIGH ST","5","04/06/2018","A"
"CHU HAI ORIENTAL MARKET","7510 W APPLETON AV","2","04/06/2018","A"
"IHOP #5422","8101 W BROWN DEER RD","9","04/06/2018","A"
"STARKS III","6315 W FOND DU LAC AV","2","04/06/2018","A"
"SPEEDWAY #4220","9200 W BURLEIGH ST","5","04/06/2018","A"
"BURGER KING","2045 E NORTH AV","3","04/06/2018","A"
"MAGGIE'S SPOT","3101 W GLENDALE AV","1","04/05/2018","A"
"BEST FOOD","3405 S 13TH ST","14","04/05/2018","A"
"ON THE CLOCK","4301 S HOWELL AV","13","04/05/2018","A"
"LANDMARK FAMILY RESTUARANT","3451 S KINNICKINNIC AV","14","04/04/2018","A"
"CAMPBELLS IRISH PUB","4068 S HOWELL AV","13","04/04/2018","A"
"BRIM CAFE AND CATERING","125 S 84TH ST","10","04/03/2018","A"
"TACO BELL #23265","5441 N LOVERS LANE RD","5","03/27/2018","A"
"GRANGE PETRO MART, LLC","1313 W GRANGE AV","13","03/27/2018","A"
"BEERBELLY'S","512 W LAYTON AV","13","03/27/2018","A"
"LA MICHOACANA PLUS","3142 S 13TH ST","14","03/27/2018","A"
"HAMPTON QUICK MART","5835 W HAMPTON AV","7","03/27/2018","A"
"KING'S CAPITOL CONVENIENCE","2002 W CAPITOL DR","1","03/27/2018","A"
"OPEN PANTRY #614","3110 S 76TH ST","11","03/27/2018","A"
"SUBWAY","3929 S 76TH ST","11","03/26/2018","A"
"WENDY'S RESTAURANT #2","633 E NORTH AV","6","03/26/2018","B"
"SODEXO@ MARQUETTE CUDAHY HALL BREW","1313 W WISCONSIN AV","4","03/26/2018","A"
"DOMNIO'S PIZZA","6918 N TEUTONIA AV","1","03/26/2018","A"
"MI PUEBLO","1700 W MITCHELL ST","12","03/26/2018","A"
"A.J.J. PETROLEUM","905 E CENTER ST","3","03/26/2018","A"
"MIBA MYITAR","1203 W LINCOLN AV","12","03/23/2018","A"
"TEUTONIA GREENTREE PETRO MART","6811 N TEUTONIA AV","1","03/23/2018","A"
"LAZY SUSAN MKE","2376 S HOWELL AV","14","03/23/2018","A"
"WENDY'S RESTAURANT #6","4601 W NORTH AV","15","03/23/2018","A"
"THREE BROTHERS RESTAURANT","2414 S ST CLAIR ST","14","03/22/2018","A"
"ANDY'S AT LOVERS LANE","5401 N LOVERS LANE RD","5","03/22/2018","A"
"DOLLAR TREE #666","10220 W SILVER SPRING DR","5","03/22/2018","A"
"SUBWAY","5401 N LOVERS LANE RD","5","03/22/2018","A"
"BEST PETROLEUM","575 W BECHER ST","14","03/22/2018","A"
"KWIK STOP","2434 W NATIONAL AV","8","03/22/2018","A"
"LI'L GENERAL","233 E CENTER ST","6","03/21/2018","A"
"HI FI CAFE","2460 S KINNICKINNIC AV","14","03/21/2018","A"
"LAYTON FOOD MARKET","1344 S LAYTON BL","8","03/21/2018","A"
"CITGO 107","8632 N 107TH ST","9","03/21/2018","A"
"POPEYES CHICKEN","2910 W CAPITOL DR","1","03/21/2018","A"
"NWHC- INSPECTOR VOIDED PLACARD","7630 W MILL RD","9","03/21/2018","A"
"CHINA TASTE","749 N 27TH ST","4","03/20/2018","B"
"ATTARI SUPERMARKET","3042 S 13TH ST","14","03/20/2018","A"
"COUSINS SUBS","1233 E BRADY ST","3","03/20/2018","A"
"WENDY'S RESTAURANT #3","627 E CAPITOL DR","6","03/20/2018","B"
"JUST ONE MORE","3209 W LINCOLN AV","8","03/20/2018","A"
"MIKE'S REDHOTS","6914 N TEUTONIA AV","1","03/19/2018","A"
"SOLO/BLACK ROSE","2856 N OAKLAND AV","3","03/19/2018","A"
"EMPEROR OF CHINA","1010 E BRADY ST","3","03/19/2018","A"
"GP2 PETROLEUM","122 W CAPITOL DR","6","03/19/2018","A"
"WALGREENS #4720","2222 W CAPITOL DR","1","03/19/2018","A"
"MI-KEY'S","811 N JEFFERSON ST","4","03/19/2018","A"
"BP","2242 S 12TH ST","12","03/19/2018","B"
"JACKSON CENTER DAYS INNS & SUITES","1840 N 6TH ST","6","03/19/2018","A"
"SODEXO@ MARQUETTE MASHUDA HALL","1926 W WISCONSIN AV","4","03/19/2018","A"
"YANG RESTAURANT & CAFE","6300 N 76TH ST","2","03/16/2018","A"
"MCDONALDS","6409 W BLUE MOUND RD","10","03/16/2018","A"
"COUSINS SUBS","7603 W BURLEIGH ST","5","03/16/2018","A"
"COUSINS SUBS","7603 W BURLEIGH ST","5","03/16/2018","A"
"COLOUR PALATE","120 N WATER ST","4","03/16/2018","A"
"COLOUR PALATE","120 N WATER ST","4","03/16/2018","A"
"FAITH GROCERIES","3451 N 23RD ST","6","03/16/2018","A"
"ALDI #87","1441 S 35TH ST","8","03/16/2018","A"
"MCDONALD'S","707 S 1ST ST","12","03/15/2018","A"
"TAQUERIA LA SALSA","1105 W LINCOLN AV","12","03/15/2018","A"
"MOBIL GAS STATION","3510 W LINCOLN AV","8","03/15/2018","A"
"THAI-NAMITE RESTAURANT","932 E BRADY ST","3","03/15/2018","A"
"HILTON GARDEN INN","11600 W PARK PL","5","03/15/2018","A"
"OSCAR'S PUB & GRILL #0531","1712 W PIERCE ST","12","03/14/2018","A"
"OSCAR'S PUB & GRILL #0531","1712 W PIERCE ST","12","03/14/2018","A"
"POPEYES CHICKEN","1567 W NATIONAL AV","12","03/14/2018","A"
"COMET CAFE","1943 N FARWELL AV","3","03/13/2018","B"
"MCDONALD'S","1940 S 14TH ST","12","03/12/2018","A"
"CATERING KITCHEN","1442 W WISCONSIN AV","4","03/12/2018","A"
"JC KING  TORTAS","3128 S 13TH ST","14","03/12/2018","A"
"THE PACKING HOUSE","900 W LAYTON AV","13","03/12/2018","A"
"MCDONALDS","7130 N 76TH ST","9","03/12/2018","A"
"P&J LIQUOR LLC","7900 W SILVER SPRING DR","2","03/12/2018","A"
"MCDONALD'S","2455 W WISCONSIN AV","4","03/09/2018","A"
"ABC BEER & LIQUOR DEPOT III","1606 S 35TH ST","8","03/09/2018","A"
"BUDDHA LOUNGE","1504 E NORTH AV","3","03/09/2018","A"
"RED LION PUB ON TANNERY ROW","1850 N WATER ST","3","03/08/2018","A"
"LITTLE CESARS #302","3161 S 76TH ST","11","03/07/2018","A"
"TIER ONE GAMING LOUNGE","4350 S 27TH ST","13","03/06/2018","A"
"CENTER STREET FOOD AND LIQUOR","2667 N 5TH ST","6","03/06/2018","A"
