"ESTABLISHMENT NAME","ADDRESS","ALDERMANIC DISTRICT","INSPECTION DATE","ESTABLISHMENT GRADE"
"PHO CALI RESTAURANT","4756 S 27TH ST","13","10/10/2018","B"
"LEON'S FROZEN CUSTARD","3131 S 27TH ST","11","10/10/2018","A"
"WISCONSIN CLUB","900 W WISCONSIN AV","4","10/10/2018","A"
"ARAMARK","6555 W GOOD HOPE RD","9","10/09/2018","A"
"PEPPERPOT CATERINGMKE","4120 W CAPITOL DR","7","10/09/2018","A"
"MILWAUKEE STEAKHOUSE","6204 W BLUE MOUND RD","10","10/09/2018","A"
"MIDGET FOOD LLC","2500 N BOOTH ST","6","10/09/2018","A"
"LOVES SUPERMARKET","418 E CENTER ST","6","10/09/2018","A"
"GURU FOOD","4028 W LISBON AV","15","10/08/2018","A"
"LAKEFRONT BREWERY","1872 N COMMERCE ST","6","10/08/2018","A"
"JO'S CAFE","3519 W SILVER SPRING DR","1","10/08/2018","A"
"TOAST","231 S 2ND ST","12","10/05/2018","A"
"RIVERFRONT PIZZERIA BAR AND GRILL","509 E ERIE ST","4","10/05/2018","A"
"SOBELMANS @ MARQUETTE","1601 W WELLS ST","4","10/05/2018","A"
"HOT FLASH PANTRY","701 E WISCONSIN AV","4","10/05/2018","A"
"CATFISH LOUNGE","3646 N TEUTONIA AV","6","10/05/2018","A"
"ALL ABOARD CAFE","433 W ST PAUL AV","4","10/05/2018","A"
"STACK'D BURGER BAR","170 S 1ST ST","12","10/05/2018","A"
"TRANSFER PIZZERIA CAFE","101 W MITCHELL ST","12","10/05/2018","A"
"DON JULIO'S (#0654)","1937 W FOREST HOME AV","12","10/04/2018","A"
"POTBELLY SANDWICH SHOP","2239 N PROSPECT AV","3","10/03/2018","A"
"MARTINO'S","1215 W LAYTON AV","13","10/03/2018","A"
"MURRAY PANTRY","2430 N MURRAY AV","3","10/03/2018","A"
"HONEY DIP DONUTS","5306 S 27TH ST","13","10/02/2018","A"
"HOLIDAY INN EXPRESS-MILWAUKEE AIRPORT","1400 W ZELLMAN CT","13","10/02/2018","A"
"MILWAUKEE ALE HOUSE","233 N WATER ST","4","10/01/2018","A"
"CITGO","1831 W NATIONAL AV","12","10/01/2018","A"
"THE BREW CAFES THE DAILY GRIND","1801 W WISCONSIN AV","4","10/01/2018","A"
"SAV-ON-FOODS","2030 W CLYBOURN ST","4","10/01/2018","A"
"RESTAURANTE EL COMEDOR (ID#0678)","1039 W NATIONAL AV","12","09/28/2018","MA"
"TACOS EL AMIGO (ID #0137)","635 W GREENFIELD AV","12","09/28/2018","MA"
"BENNY'S CAFE","5354 S 27TH ST","13","09/28/2018","A"
"EAGLES FOOD","1401 W CENTER ST","15","09/28/2018","A"
"STENY'S","800 S 2ND ST","12","09/28/2018","A"
"DENNY'S #8092","3801 S 27TH ST","13","09/28/2018","A"
"CARNICERIA VARGAS","1709 S MUSKEGO AV","8","09/28/2018","A"
"CHILANGO EXPRESS #0793","6821 W LINCOLN AV","","09/28/2018","MA"
"SUBWAY","683 S HAWLEY RD","10","09/28/2018","A"
"TERRILYNN'S EXPRESS","10742 W HAMPTON AV","5","09/28/2018","A"
"LA BORINCANA RESTAURANT","1820 S 13TH ST","12","09/28/2018","A"
"MIKE'S MOBILE KITCHEN ID #0217","9000 W KAUL AV","1","09/27/2018","MA"
"CINCO DE MAYO FIESTA","8412 W MORGAN AV","11","09/27/2018","A"
"THAT CORNBEEF PLACE #0023","1614 W WALNUT ST","15","09/27/2018","MA"
"RNR LIQUOR","8333 W MORGAN AV","11","09/27/2018","A"
"TAQUERIA ARANDAS (ID #485)","717 S 2ND ST","12","09/27/2018","MA"
"THAT CORNBEEF PLACE (#0021)","1614 W WALNUT ST","15","09/27/2018","MA"
"FIRST STOP FOODS","1330 S 35TH ST","8","09/26/2018","A"
"SUPERMARKET LA VERACRUZANA","2539 W GRANT ST","8","09/26/2018","A"
